,Unnamed: 0,PROVINCIA,CITY,CPA,ERROR
0,0,Buenos-Aires,calles-de-11-de-Septiembre,Buscar CPA,
1,1,Buenos-Aires,calles-de-11-de-Septiembre,Buscar CPA,
2,2,Buenos-Aires,calles-de-11-de-Septiembre,Buscar CPA,
3,3,Buenos-Aires,calles-de-11-de-Septiembre,Buscar CPA,
4,4,Buenos-Aires,calles-de-11-de-Septiembre,Buscar CPA,
5,5,Buenos-Aires,calles-de-11-de-Septiembre,Buscar CPA,
8,8,Buenos-Aires,calles-de-12-de-Agosto,Buscar CPA,
11,11,Buenos-Aires,calles-de-12-de-Agosto,Buscar CPA,
13,13,Buenos-Aires,calles-de-25-de-Mayo,Buscar CPA,
18,18,Buenos-Aires,calles-de-30-de-Agosto,Buscar CPA,
24,24,Buenos-Aires,calles-de-Aguas-Corrientes,Buscar CPA,
27,27,Buenos-Aires,calles-de-Aguas-Corrientes,Buscar CPA,
36,36,Buenos-Aires,calles-de-Aguirrezabala,Buscar CPA,
37,37,Buenos-Aires,calles-de-Agustin-Mosconi,Buscar CPA,
42,42,Buenos-Aires,calles-de-Agustin-Mosconi,Buscar CPA,
48,48,Buenos-Aires,calles-de-Alfredo-Demarchi,Buscar CPA,
49,49,Buenos-Aires,calles-de-Alfredo-Demarchi,Buscar CPA,
63,63,Buenos-Aires,calles-de-Almacen-Castro,Buscar CPA,
69,69,Buenos-Aires,calles-de-Almirante-Solier,Buscar CPA,
70,70,Buenos-Aires,calles-de-Almirante-Solier,Buscar CPA,
71,71,Buenos-Aires,calles-de-Almirante-Solier,Buscar CPA,
79,79,Buenos-Aires,calles-de-Altona,Buscar CPA,
81,81,Buenos-Aires,calles-de-America,Buscar CPA,
84,84,Buenos-Aires,calles-de-America-Unida,Buscar CPA,
87,87,Buenos-Aires,calles-de-America-Unida,Buscar CPA,
92,92,Buenos-Aires,calles-de-Arboleda,Buscar CPA,
115,115,Buenos-Aires,calles-de-Arroyo-Aguas-Blancas,Buscar CPA,
118,118,Buenos-Aires,calles-de-Arroyo-Canelon,Buscar CPA,
119,119,Buenos-Aires,calles-de-Arroyo-Canelon,Buscar CPA,
121,121,Buenos-Aires,calles-de-Arroyo-Canelon,Buscar CPA,
154,154,Buenos-Aires,calles-de-Arroyo-Dulce,Buscar CPA,
155,155,Buenos-Aires,calles-de-Arroyo-Dulce,Buscar CPA,
212,212,Buenos-Aires,calles-de-Arroyo-Negro,Buscar CPA,
213,213,Buenos-Aires,calles-de-Arroyo-Negro,Buscar CPA,
214,214,Buenos-Aires,calles-de-Arturo-Segui,Buscar CPA,
217,217,Buenos-Aires,calles-de-Asamblea,Buscar CPA,
219,219,Buenos-Aires,calles-de-Ascencion,Buscar CPA,
223,223,Buenos-Aires,calles-de-Ascencion,Buscar CPA,
228,228,Buenos-Aires,calles-de-Asturias,Buscar CPA,
232,232,Buenos-Aires,calles-de-Avestruz,Buscar CPA,
234,234,Buenos-Aires,calles-de-Azul,Buscar CPA,
246,246,Buenos-Aires,calles-de-Badano,Buscar CPA,
250,250,Buenos-Aires,calles-de-Badano,Buscar CPA,
253,253,Buenos-Aires,calles-de-Bahia-Blanca,Buscar CPA,
275,275,Buenos-Aires,calles-de-Baigorrita,Buscar CPA,
277,277,Buenos-Aires,calles-de-Baigorrita,Buscar CPA,
279,279,Buenos-Aires,calles-de-Baigorrita,Buscar CPA,
280,280,Buenos-Aires,calles-de-Bajo-Hondo,Buscar CPA,
284,284,Buenos-Aires,calles-de-Balneario-Frente-Mar,Buscar CPA,
285,285,Buenos-Aires,calles-de-Balneario-Frente-Mar,Buscar CPA,
286,286,Buenos-Aires,calles-de-Balneario-Frente-Mar,Buscar CPA,
287,287,Buenos-Aires,calles-de-Balneario-Frente-Mar,Buscar CPA,
288,288,Buenos-Aires,calles-de-Balneario-Frente-Mar,Buscar CPA,
292,292,Buenos-Aires,calles-de-Balneario-Frente-Mar,Buscar CPA,
295,295,Buenos-Aires,calles-de-Balneario-Frente-Mar,Buscar CPA,
296,296,Buenos-Aires,calles-de-Balneario-Frente-Mar,Buscar CPA,
298,298,Buenos-Aires,calles-de-Balneario-Frente-Mar,Buscar CPA,
